Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2020-12-02 22:12:00,28.69,91.84
2020-12-02 22:27:00,28.78,90.43
2020-12-02 22:42:00,28.17,91.94
2020-12-02 22:57:00,27.9,90.93
2020-12-02 23:12:00,27.73,92.51
2020-12-02 23:27:00,27.77,91.63
2020-12-02 23:42:00,27.3,91.62
2020-12-02 23:57:00,27.1,92.01
2020-12-03 00:12:00,26.78,91.07
2020-12-03 00:27:00,26.58,91.88
2020-12-03 00:42:00,26.33,93.01
2020-12-03 00:57:00,25.72,93.54
2020-12-03 01:12:00,25.72,92.81
2020-12-03 01:27:00,25.74,94.39
2020-12-03 01:42:00,25.18,92.15
2020-12-03 01:57:00,25.14,94.09
2020-12-03 02:12:00,24.87,93.39
2020-12-03 02:27:00,24.62,94.51
2020-12-03 02:42:00,24.37,94.96
2020-12-03 02:57:00,24.13,94.03
2020-12-03 03:12:00,24.12,95.13
2020-12-03 03:27:00,23.86,95.56
2020-12-03 03:42:00,23.7,96.78
2020-12-03 03:57:00,23.5,96.68
2020-12-03 04:12:00,23.36,97.18
2020-12-03 04:27:00,23.23,95.98
2020-12-03 04:42:00,23.31,96.15
2020-12-03 04:57:00,22.93,97.55
2020-12-03 05:12:00,22.66,96.73
2020-12-03 05:27:00,22.46,95.87
2020-12-03 05:42:00,22.66,97.97
2020-12-03 05:57:00,22.53,97.14
2020-12-03 06:12:00,22.39,96
2020-12-03 06:27:00,22.15,96.76
2020-12-03 06:42:00,22.14,96.81
2020-12-03 06:57:00,22.26,97.38
2020-12-03 07:12:00,22.14,98.05
2020-12-03 07:27:00,22.28,97.01
2020-12-03 07:42:00,22.51,96
2020-12-03 07:57:00,23.11,96.97
2020-12-03 08:12:00,24.26,96.8
2020-12-03 08:27:00,25.52,96.44
2020-12-03 08:42:00,26.83,96.76
2020-12-03 08:57:00,29.01,94.31
2020-12-03 09:12:00,31.6,93.39
2020-12-03 09:27:00,34.27,90.33
2020-12-03 09:42:00,36.93,82.96
2020-12-03 09:57:00,39.38,81.02
2020-12-03 10:12:00,42.04,71.83
2020-12-03 10:27:00,44.17,61.8
2020-12-03 10:42:00,45.57,59.07
2020-12-03 10:57:00,46.67,55.91
2020-12-03 11:12:00,48.25,50.32
2020-12-03 11:27:00,48.87,45.11
2020-12-03 11:42:00,50.36,48.69
2020-12-03 11:57:00,51.44,40.89
2020-12-03 12:12:00,52.57,38.27
2020-12-03 12:27:00,53.2,33.93
2020-12-03 12:42:00,53.98,34.81
2020-12-03 13:12:00,55.58,33.17
2020-12-03 13:27:00,56.3,33.51
2020-12-03 13:42:00,57.18,33.71
2020-12-03 13:57:00,57.69,31.24
2020-12-03 14:12:00,58.37,31.53
2020-12-03 14:27:00,58.69,30.03
2020-12-03 14:42:00,58.37,28.76
2020-12-03 14:57:00,58.35,32.7
2020-12-03 15:12:00,58.39,29.84
2020-12-03 15:27:00,57.34,31.23
2020-12-03 15:42:00,57.9,32.18
2020-12-03 15:57:00,57.4,33.5
2020-12-03 16:12:00,56.14,34.27
2020-12-03 16:27:00,54.97,33.62
2020-12-03 16:42:00,53.73,38.58
2020-12-03 16:57:00,52.68,41.39
2020-12-03 17:12:00,50.79,44.15
2020-12-03 17:42:00,45.75,58.3
2020-12-03 17:57:00,43.47,64.19
2020-12-03 18:12:00,42.3,69.4
2020-12-03 18:27:00,42.4,70.98
2020-12-03 18:42:00,41.94,72.37
