datetime,tempF,humidity,tempC,year,month,day,hour,minute,moisturecontent
2020-02-04T00:26:00Z,70.7,40.4,21.500000000000004,2020,2,4,0,26,6.233220530360713
2020-02-04T02:56:00Z,70.16,40.6,21.2,2020,2,4,2,56,6.156303139913486
2020-02-04T05:26:00Z,69.44,40.6,20.8,2020,2,4,5,26,6.015101040787856
2020-02-04T07:56:00Z,69.08,40.5,20.6,2020,2,4,7,56,5.930912925588629
2020-02-04T10:26:00Z,68.72,40.5,20.4,2020,2,4,10,26,5.862235566883101
2020-02-04T12:56:00Z,68.9,40.5,20.500000000000004,2020,2,4,12,56,5.8964877053631
2020-02-04T15:26:00Z,69.26,40.1,20.700000000000003,2020,2,4,15,26,5.906593317810787
2020-02-04T17:56:00Z,69.8,40.3,21,2020,2,4,17,56,6.040382113616518
2020-02-04T20:26:00Z,69.62,41.3,20.900000000000002,2020,2,4,20,26,6.154448862714642
2020-02-04T22:56:00Z,69.26,42.4,20.700000000000003,2020,2,4,22,56,6.245375478183973
2020-02-05T01:26:00Z,68.9,42.8,20.500000000000004,2020,2,5,1,26,6.231349970112116
2020-02-05T03:56:00Z,68.18,43,20.100000000000005,2020,2,5,3,56,6.11609747104251
2020-02-05T06:26:00Z,67.82,43.3,19.9,2020,2,5,6,26,6.0871736851819405
2020-02-05T08:56:00Z,68.54,43.1,20.300000000000004,2020,2,5,8,56,6.202308996593145
2020-02-05T11:26:00Z,68.36,43.9,20.2,2020,2,5,11,26,6.2806783055951945
2020-02-05T13:56:00Z,68.36,44.1,20.2,2020,2,5,13,56,6.309291874185606
2020-02-05T16:26:00Z,68.9,44.5,20.500000000000004,2020,2,5,16,26,6.478856861448346
2020-02-05T18:56:00Z,68.72,45.7,20.4,2020,2,5,18,56,6.61491766435945
2020-02-05T21:26:00Z,69.08,46.7,20.6,2020,2,5,21,26,6.838855151234296
2020-02-05T23:56:00Z,69.08,46.6,20.6,2020,2,5,23,56,6.824210921788399
2020-02-06T02:26:00Z,68.9,46.9,20.500000000000004,2020,2,6,2,26,6.82827835509949
2020-02-06T04:56:00Z,68.72,47.3,20.4,2020,2,6,4,56,6.8465121558906334
2020-02-06T07:26:00Z,69.08,47.6,20.6,2020,2,6,7,26,6.970653216247377
2020-02-06T09:56:00Z,68.72,48.1,20.4,2020,2,6,9,56,6.962309401656227
2020-02-06T12:26:00Z,68.72,48.5,20.4,2020,2,6,12,26,7.020208024539022
2020-02-06T14:56:00Z,68.36,48.3,20.2,2020,2,6,14,56,6.910176814584234
